,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1837,-0.26611979304001665,-0.26611979304001665,-0.26611979304001665,-0.26611979304001665,-0.26611979304001665,-0.26611979304001665,-0.26611979304001665
1838,-0.20613426755672032,-0.20613426755672032,-0.20613426755672032,-0.20613426755672032,-0.20613426755672032,-0.20613426755672032,-0.20613426755672032
1839,-0.16174901702852373,-0.16174901702852373,-0.16174901702852373,-0.16174901702852373,-0.16174901702852373,-0.16174901702852373,-0.16174901702852373
1840,-0.12859853023000667,-0.12859853023000667,-0.12859853023000667,-0.12859853023000667,-0.12859853023000667,-0.12859853023000667,-0.12859853023000667
1841,-0.11265106548647248,-0.11265106548647248,-0.11265106548647248,-0.11265106548647248,-0.11265106548647248,-0.11265106548647248,-0.11265106548647248
1842,-0.09924824354855076,-0.09924824354855076,-0.09924824354855076,-0.09924824354855076,-0.09924824354855076,-0.09924824354855076,-0.09924824354855076
1843,-0.07990428358153769,-0.07990428358153769,-0.07990428358153769,-0.07990428358153769,-0.07990428358153769,-0.07990428358153769,-0.07990428358153769
1844,-0.0676216138166101,-0.0676216138166101,-0.0676216138166101,-0.0676216138166101,-0.0676216138166101,-0.0676216138166101,-0.0676216138166101
1845,-0.08186654432926274,-0.08186654432926274,-0.08186654432926274,-0.08186654432926274,-0.08186654432926274,-0.08186654432926274,-0.08186654432926274
1846,-0.08933225724470811,-0.08933225724470811,-0.08933225724470811,-0.08933225724470811,-0.08933225724470811,-0.08933225724470811,-0.08933225724470811
1847,-0.06995014739622392,-0.06995014739622392,-0.06995014739622392,-0.06995014739622392,-0.06995014739622392,-0.06995014739622392,-0.06995014739622392
1848,-0.05813944554436568,-0.05813944554436568,-0.05813944554436568,-0.05813944554436568,-0.05813944554436568,-0.05813944554436568,-0.05813944554436568
1849,-0.05199132033668085,-0.05199132033668085,-0.05199132033668085,-0.05199132033668085,-0.05199132033668085,-0.05199132033668085,-0.05199132033668085
1850,-0.04504567470615323,-0.04504567470615323,-0.04504567470615323,-0.04504567470615323,-0.04504567470615323,-0.04504567470615323,-0.04504567470615323
1851,-0.03796495562788917,-0.03796495562788917,-0.03796495562788917,-0.03796495562788917,-0.03796495562788917,-0.03796495562788917,-0.03796495562788917
1852,-0.03413076638714725,-0.03413076638714725,-0.03413076638714725,-0.03413076638714725,-0.03413076638714725,-0.03413076638714725,-0.03413076638714725
1853,-0.031593355507049434,-0.031593355507049434,-0.031593355507049434,-0.031593355507049434,-0.031593355507049434,-0.031593355507049434,-0.031593355507049434
1854,-0.02681450329638937,-0.02681450329638937,-0.02681450329638937,-0.02681450329638937,-0.02681450329638937,-0.02681450329638937,-0.02681450329638937
1855,-0.02573159797752993,-0.02573159797752993,-0.02573159797752993,-0.02573159797752993,-0.02573159797752993,-0.02573159797752993,-0.02573159797752993
1856,-0.05910509048665192,-0.05910509048665192,-0.05910509048665192,-0.05910509048665192,-0.05910509048665192,-0.05910509048665192,-0.05910509048665192
1857,-0.057307119523896784,-0.057307119523896784,-0.057307119523896784,-0.057307119523896784,-0.057307119523896784,-0.057307119523896784,-0.057307119523896784
1858,-0.053381660553298016,-0.053381660553298016,-0.053381660553298016,-0.053381660553298016,-0.053381660553298016,-0.053381660553298016,-0.053381660553298016
1859,-0.03417839584946223,-0.03417839584946223,-0.03417839584946223,-0.03417839584946223,-0.03417839584946223,-0.03417839584946223,-0.03417839584946223
1860,-0.028569669148798518,-0.028569669148798518,-0.028569669148798518,-0.028569669148798518,-0.028569669148798518,-0.028569669148798518,-0.028569669148798518
1861,-0.022538219483341223,-0.022538219483341223,-0.022538219483341223,-0.022538219483341223,-0.022538219483341223,-0.022538219483341223,-0.022538219483341223
1862,-0.02548133388208281,-0.02548133388208281,-0.02548133388208281,-0.02548133388208281,-0.02548133388208281,-0.02548133388208281,-0.02548133388208281
1863,-0.02664072518095866,-0.02664072518095866,-0.02664072518095866,-0.02664072518095866,-0.02664072518095866,-0.02664072518095866,-0.02664072518095866
1864,-0.09624339324142508,-0.09624339324142508,-0.09624339324142508,-0.09624339324142508,-0.09624339324142508,-0.09624339324142508,-0.09624339324142508
1865,-0.10467892395221502,-0.10467892395221502,-0.10467892395221502,-0.10467892395221502,-0.10467892395221502,-0.10467892395221502,-0.10467892395221502
1866,-0.07547577811607975,-0.07547577811607975,-0.07547577811607975,-0.07547577811607975,-0.07547577811607975,-0.07547577811607975,-0.07547577811607975
1867,-0.051697258953693946,-0.051697258953693946,-0.051697258953693946,-0.051697258953693946,-0.051697258953693946,-0.051697258953693946,-0.051697258953693946
1868,-0.03865186381144669,-0.03865186381144669,-0.03865186381144669,-0.03865186381144669,-0.03865186381144669,-0.03865186381144669,-0.03865186381144669
1869,-0.028627056091816316,-0.028627056091816316,-0.028627056091816316,-0.028627056091816316,-0.028627056091816316,-0.028627056091816316,-0.028627056091816316
1870,-0.0272904007652676,-0.0272904007652676,-0.0272904007652676,-0.0272904007652676,-0.0272904007652676,-0.0272904007652676,-0.0272904007652676
1871,-0.020955493845548238,-0.020955493845548238,-0.020955493845548238,-0.020955493845548238,-0.020955493845548238,-0.020955493845548238,-0.020955493845548238
1872,-0.014860839969192328,-0.014860839969192328,-0.014860839969192328,-0.014860839969192328,-0.014860839969192328,-0.014860839969192328,-0.014860839969192328
1873,-0.010277174440971181,-0.010277174440971181,-0.010277174440971181,-0.010277174440971181,-0.010277174440971181,-0.010277174440971181,-0.010277174440971181
1874,-0.014233426903866283,-0.014233426903866283,-0.014233426903866283,-0.014233426903866283,-0.014233426903866283,-0.014233426903866283,-0.014233426903866283
1875,-0.015024012647404598,-0.015024012647404598,-0.015024012647404598,-0.015024012647404598,-0.015024012647404598,-0.015024012647404598,-0.015024012647404598
1876,0.0029184453818354482,0.0029184453818354482,0.0029184453818354482,0.0029184453818354482,0.0029184453818354482,0.0029184453818354482,0.0029184453818354482
1877,0.0030155604363617107,0.0030155604363617107,0.0030155604363617107,0.0030155604363617107,0.0030155604363617107,0.0030155604363617107,0.0030155604363617107
1878,-0.0014123260275384197,-0.0014123260275384197,-0.0014123260275384197,-0.0014123260275384197,-0.0014123260275384197,-0.0014123260275384197,-0.0014123260275384197
1879,-0.0010810372963361448,-0.0010810372963361448,-0.0010810372963361448,-0.0010810372963361448,-0.0010810372963361448,-0.0010810372963361448,-0.0010810372963361448
1880,0.004407186088944468,0.004407186088944468,0.004407186088944468,0.004407186088944468,0.004407186088944468,0.004407186088944468,0.004407186088944468
1881,-0.00022745603558622959,-0.00022745603558622959,-0.00022745603558622959,-0.00022745603558622959,-0.00022745603558622959,-0.00022745603558622959,-0.00022745603558622959
1882,-0.0022456373949098322,-0.0022456373949098322,-0.0022456373949098322,-0.0022456373949098322,-0.0022456373949098322,-0.0022456373949098322,-0.0022456373949098322
1883,-0.0009070056043327935,-0.0009070056043327935,-0.0009070056043327935,-0.0009070056043327935,-0.0009070056043327935,-0.0009070056043327935,-0.0009070056043327935
1884,-0.032221592429176445,-0.032221592429176445,-0.032221592429176445,-0.032221592429176445,-0.032221592429176445,-0.032221592429176445,-0.032221592429176445
